batch_size,learning_rate,max_dropout,max_units,momentum,num_layers,weight_decay,accuracy
71.0,0.0018243300267253295,0.025926231827891333,293.0,0.21325193168301043,3.0,0.020472816917443872,64.4649446494465
457.0,0.01239328605026128,0.5472322491757223,950.0,0.16411425552061212,4.0,0.09762768273307641,53.44095940959409
352.0,0.0002103633313740744,0.3319798053011772,623.0,0.39125038484728947,1.0,0.05298643804566024,51.881918819188186
329.0,0.0004990970282009203,0.968540662820932,712.0,0.10264765935201169,3.0,0.04305257714106613,58.03505535055351
16.0,0.0002668905866905689,0.5018745921487388,252.0,0.16504588833160305,1.0,0.04185663296924015,62.57380073800738
230.0,0.0031298320746735286,0.0207519493594015,370.0,0.1674231280918207,4.0,0.019814305847314802,60.67343173431734
29.0,0.0018222619787163098,0.019475241487624584,230.0,0.304304450022221,4.0,0.0012879536509149588,67.71217712177122
27.0,0.00011059229929511224,0.7400496965154048,132.0,0.8217445949831458,3.0,0.09007247826316006,53.445571955719565
94.0,0.000849586839797424,0.7731650520792968,715.0,0.8983053483297235,1.0,0.051316540059666044,62.67988929889299
302.0,0.000670197472749198,0.17889592492099848,74.0,0.3370442147730286,2.0,0.030598832384434244,56.98339483394834
34.0,0.0012083326373602157,0.5231633414006761,294.0,0.16676589431281374,1.0,0.06887572892051744,62.48154981549815
43.0,0.02295918037365286,0.5305867556052941,108.0,0.45026558471877,1.0,0.06375571439540315,62.53690036900369
151.0,0.03603289913748951,0.5054533737348429,731.0,0.5582928773445519,1.0,0.06661350573185741,62.53228782287823
22.0,0.000987051220400902,0.7612497166748563,126.0,0.12095874942070696,1.0,0.06720098835723386,62.52767527675277
18.0,0.00041473271596757316,0.28910965978981684,472.0,0.11234445488510034,1.0,0.030234166677522042,62.74446494464945
95.0,0.000460400821402937,0.9469626038148141,534.0,0.48219961509141723,2.0,0.016722248917974625,61.61439114391144
446.0,0.001211069486194714,0.699512049949576,1024.0,0.5452701559306933,2.0,0.0996456079516588,63.20571955719557
325.0,0.0017111984720442413,0.5822769286725598,138.0,0.1308769681447354,1.0,0.06850002474996976,61.7619926199262
199.0,0.02207621519406376,0.5612396023276411,90.0,0.32267297759607916,2.0,0.018277508907998345,67.2140221402214
318.0,0.002281167485681001,0.2849059652276268,78.0,0.34668085078001776,4.0,0.07266631192492246,55.09225092250922
148.0,0.07723665217765914,0.38074848963511654,401.0,0.2213852737938978,1.0,0.09917518171943783,62.36162361623616
37.0,0.04084953009215733,0.44997542105079547,199.0,0.15283832303142064,2.0,0.001975945928750101,70.86715867158672
18.0,0.00011007090695481574,0.780100460524675,82.0,0.8552092434327613,4.0,0.042663172429735996,53.44095940959409
77.0,0.028294657137417915,0.30834960696491165,121.0,0.12908049723480972,2.0,0.0626474585231357,61.94649446494465
198.0,0.026428796663806896,0.6016142123702133,897.0,0.2299477876220027,1.0,0.018663815660808696,63.33487084870849
422.0,0.007248574894335152,0.4640981743044076,109.0,0.4799958834372459,3.0,0.010352721126449608,61.997232472324725
105.0,0.006397437038197494,0.7978990212826053,622.0,0.33359598456471334,1.0,0.04639620149694875,62.684501845018445
65.0,0.002244149374276339,0.05536604011186008,569.0,0.2007177533629145,2.0,0.05264468843447158,64.18819188191883
37.0,0.00022349669715967014,0.046095820672611754,417.0,0.3992362179093922,1.0,0.01910115697134612,62.30166051660516
57.0,0.00029380279387035364,0.9507143064099162,486.0,0.1429926236099579,3.0,0.005817780380698264,54.55258302583026
23.0,0.000958113958729467,0.6090665392794814,92.0,0.7167827134937558,2.0,0.0666123604076716,61.86808118081181
288.0,0.0011965545799559087,0.10479610436986975,504.0,0.40418405218717496,2.0,0.03938401731331426,62.933579335793354
493.0,0.002154807546828439,0.5495447268447254,139.0,0.2956271080678261,1.0,0.0048617148706355225,61.70664206642067
241.0,0.0008694223632297516,0.6348337060527302,127.0,0.8573269951183493,4.0,0.004296116180742869,58.7730627306273
16.0,0.02377402866254077,0.8915732671802584,140.0,0.2104041717502054,2.0,0.08647239156515894,61.90036900369004
87.0,0.0013550187134784195,0.22808310444933622,129.0,0.9822552926224637,2.0,0.04082563806131638,64.90313653136532
165.0,0.0007122607230141914,0.04471218220294604,165.0,0.881442794412852,4.0,0.015775440175688656,61.37915129151291
276.0,0.0001971757021368783,0.026117981569867332,114.0,0.41440459030381044,4.0,0.005398483057648391,52.99354243542436
300.0,0.00572208299154257,0.5611655402650342,225.0,0.3415161932390184,2.0,0.08274735311516682,61.65590405904059
67.0,0.00010612467078995534,0.3632394969650856,106.0,0.9219491934722743,3.0,0.08014011178908594,57.2739852398524
21.0,0.003920771109836776,0.9716559199897875,244.0,0.19244112648182243,2.0,0.08626441140139345,61.73431734317343
485.0,0.0011570160778242057,0.33341226601465335,413.0,0.6453803958305522,1.0,0.02479247685559099,61.82656826568266
21.0,0.0049873250259524805,0.23047709955172802,199.0,0.34888685494315713,2.0,0.08071187328860938,61.76660516605166
56.0,0.005191403038678936,0.4512059158933379,252.0,0.19425392812960768,1.0,0.030887357834254597,62.98431734317344
393.0,0.005256795129628643,0.15787058053479197,708.0,0.19085746653207322,1.0,0.02563549297542245,62.559963099631
44.0,0.005022412773607791,0.186945816341878,156.0,0.24918142084376388,4.0,0.03794769740330442,53.44095940959409
277.0,0.07848366939245491,0.18134973249719977,728.0,0.10081614135247548,3.0,0.09236519822037213,53.44095940959409
17.0,0.007838737499163643,0.48910750796558466,668.0,0.19483784914142108,3.0,0.054284600890131644,53.44095940959409
108.0,0.0002878165383075272,0.3962478937053667,73.0,0.3146499839584153,3.0,0.025616117103817598,54.96309963099632
58.0,0.0023499546226895254,0.567098167179614,333.0,0.20431050719269594,3.0,0.03134060274614507,63.13653136531365
33.0,0.0008130722569367211,0.031402719502580556,141.0,0.14529108818057285,1.0,0.06993438218524438,62.47693726937269
27.0,0.0003831335397000994,0.13369956070006594,174.0,0.17787458467598738,4.0,0.0758440549896453,53.459409594095945
105.0,0.00015135396015039752,0.858856610591359,428.0,0.2424330100359084,2.0,0.021322854369848723,60.72416974169742
38.0,0.0067972046758128695,0.043361051161900255,320.0,0.19728509828669166,1.0,0.08072714681918483,62.48154981549815
44.0,0.004831110013577261,0.8090677156733267,168.0,0.17884717631338748,4.0,0.010506658597674055,64.35424354243543
30.0,0.056191923378250755,0.38659930304207,642.0,0.6093542967601705,1.0,0.07226320239513995,62.59225092250923
23.0,0.0017291948410799582,0.6843426332786874,281.0,0.3848412673495153,2.0,0.0716102180913167,61.75276752767528
147.0,0.0030127767476170342,0.5386209309689469,264.0,0.16350307050544008,4.0,0.024405562128565244,59.66328413284133
31.0,0.0005579322021036934,0.7845476041105609,695.0,0.6409536666614736,2.0,0.0713463445778337,62.08487084870848
46.0,0.00021425944477332305,0.81898722071885,161.0,0.9080500594237033,1.0,0.08650607470129616,62.39852398523985
386.0,0.00018279261421603132,0.6421955999238554,516.0,0.6089232860724244,1.0,0.03262183219407854,53.085793357933575
89.0,0.02889573910383204,0.4680674259481151,256.0,0.20891101550082536,1.0,0.07791960797077026,62.49077490774908
41.0,0.002718570428444719,0.6392307609252696,360.0,0.9014620589884551,4.0,0.09974344632888135,53.44095940959409
136.0,0.0006614843946985851,0.508953068645407,146.0,0.3317742948623747,4.0,0.03733124171250669,55.74261992619927
31.0,0.0004811497862641782,0.20709310406097314,97.0,0.4583353723228999,4.0,0.058925890301792946,53.44095940959409
154.0,0.0005275149197643267,0.9549013769132275,945.0,0.7325723684277579,1.0,0.054749818915906835,62.32011070110701
89.0,0.004926691219225841,0.2559371343116702,130.0,0.10373379821837014,1.0,0.015267996936103036,63.3809963099631
31.0,0.0009982433770252689,0.329020466492182,145.0,0.5272994088829497,1.0,0.06523975076457948,62.54151291512915
344.0,0.00010024487512855393,0.7885815668037246,207.0,0.7122446087182165,3.0,0.0353386361167314,51.08856088560886
192.0,0.0022506000893225673,0.6072211756219895,432.0,0.2459002137291761,3.0,0.05119559574164765,60.34132841328413
35.0,0.0039714596118052186,0.19068801862418294,747.0,0.7339510010062352,4.0,0.07242652526317078,53.44095940959409
290.0,0.020589687920336896,0.9702358519403298,220.0,0.19844437880185636,2.0,0.0976337441387795,61.093173431734314
201.0,0.003116182136318319,0.5671890154508847,147.0,0.13133823230750266,4.0,0.0388620666830592,57.2739852398524
163.0,0.02655521916586367,0.4880783992405837,631.0,0.36571991456531444,1.0,0.029769273645407362,62.99354243542435
94.0,0.0113718453543807,0.5706675868681398,69.0,0.6764832770190726,1.0,0.03070355230502706,62.99815498154982
125.0,0.005447762591766181,0.675986904372284,146.0,0.6389788228409432,4.0,0.016733177929850056,59.995387453874535
26.0,0.0003606784762905392,0.22829835699996648,600.0,0.5871743534338812,2.0,0.04054989788762908,64.58487084870849
21.0,0.004045014959331584,0.333506292479001,693.0,0.11572083992194594,1.0,0.02969048952121685,63.04889298892989
27.0,0.001056295315747129,0.7547808776513499,304.0,0.14184878897622935,2.0,0.034525669655732116,64.10055350553505
35.0,0.011447861678850372,0.0343876221032432,319.0,0.4793920558013711,1.0,0.08732086492195984,62.43542435424354
132.0,0.021128126674072087,0.4914264045523,444.0,0.5067615129408647,1.0,0.0365143505768509,62.8690036900369
23.0,0.01092626319110343,0.6584553817461534,180.0,0.4780620951365422,4.0,0.09550144949880057,53.44095940959409
132.0,0.0007690877840441442,0.16906975434563642,214.0,0.14077057671734086,4.0,0.0022576076711707353,57.97509225092251
58.0,0.021418496227292604,0.6403046199226442,892.0,0.6747004337575373,1.0,0.005490025970838002,63.800738007380076
305.0,0.00024156455084205103,0.07390359884225994,765.0,0.37440735092078964,3.0,0.08404868726375993,58.565498154981555
31.0,0.015262129588756898,0.7027744007964171,201.0,0.15477782214195693,3.0,0.05731608790966122,53.44095940959409
58.0,0.00010173596774178361,0.34870740764602626,840.0,0.6032411654463397,1.0,0.0041856470404994656,61.04704797047971
301.0,0.007807184898403156,0.49783120979273576,112.0,0.11394012672235652,4.0,0.0042864605881704695,59.43726937269373
166.0,0.0024031420469003,0.5129588022595625,360.0,0.8845339895146799,3.0,0.09845771415181331,53.44095940959409
23.0,0.03094100492221295,0.2107675745428309,121.0,0.25476450859535094,1.0,0.05558350207727512,62.67527675276753
27.0,0.0016756981663290204,0.7022100424924458,131.0,0.40632351118735327,3.0,0.05831222960206545,53.44095940959409
177.0,0.014401472828461642,0.28613933495037946,119.0,0.26379082295620504,3.0,0.0980766121964777,53.44095940959409
22.0,0.0014259940359422612,0.745471484885613,312.0,0.18741027427134904,3.0,0.06679956131671325,53.44095940959409
91.0,0.0002473178424411727,0.05753069516808973,364.0,0.6096803047156366,1.0,0.05067354423288289,61.858856088560884
22.0,0.017505836149365232,0.12814407203400036,81.0,0.24064331414898796,1.0,0.05800871696851422,62.63837638376384
97.0,0.004533635873635247,0.039962974149974184,107.0,0.12187098386671084,4.0,0.044145061761745645,53.44095940959409
321.0,0.0005209223655678344,0.2631448495974139,92.0,0.4391948404317733,1.0,0.0790620292087031,59.83856088560886
114.0,0.08336102679051316,0.2682597758139009,342.0,0.3266521579208375,1.0,0.08890004307219518,62.37084870848708
25.0,0.003031431376856601,0.31154436112759,297.0,0.8262420543821407,1.0,0.03799070496409469,62.86439114391143
238.0,0.025397522557130292,0.38114454181934154,636.0,0.22664386515506213,4.0,0.09621257215653631,53.44095940959409
67.0,0.0020787602449069643,0.12966085928477078,86.0,0.5428527442393417,1.0,0.020264364547474163,63.307195571955724
26.0,0.0005323705105407965,0.14816782846416143,115.0,0.2254977997993152,1.0,0.036831350743659015,62.670664206642066
421.0,0.0031535595367961087,0.08854402816348483,439.0,0.31659847678518843,4.0,0.08918139889045273,56.85424354243543
212.0,0.00010136908049956914,0.10873231990090226,64.0,0.20856341601232908,2.0,0.009256858283927671,53.321033210332104
384.0,0.013887422990136714,0.5223948976356186,72.0,0.14248259093514876,3.0,0.005050903960558013,61.692804428044276
205.0,0.005069426623763936,0.3399547406731225,233.0,0.7541091992620867,3.0,0.00332410959205585,66.62822878228782
21.0,0.013593133608185011,0.8909430134480786,239.0,0.320447808178111,1.0,0.04590979144600826,62.78136531365314
42.0,0.00905258603446454,0.002029799586009795,278.0,0.5852951207092334,1.0,0.05981797653987896,62.60147601476015
89.0,0.0010036074103087133,0.6189069652263383,146.0,0.7914474528836167,2.0,0.03628955335844354,63.91143911439114
116.0,0.0053365641770976024,0.14030840725258253,99.0,0.40156725379176833,1.0,0.022680158239552713,63.20571955719557
372.0,0.012423088000580673,0.2579716412752475,729.0,0.32730379173384067,4.0,0.09521144189026237,53.44095940959409
428.0,0.0009179039366632599,0.7436438528107691,71.0,0.25337913399827455,2.0,0.0072628530013058076,57.762915129151295
26.0,0.003082105663081136,0.5291844022508702,251.0,0.6367942576776476,1.0,0.022074876866487375,63.29335793357933
152.0,0.0002088719046453375,0.9211229648646226,103.0,0.15297785268985248,4.0,0.024018243716772768,53.25184501845018
46.0,0.002869051216585771,0.5590003536580203,132.0,0.6527180469278969,1.0,0.08225999767390396,62.44464944649446
252.0,0.014112220482980982,0.5852205723068482,131.0,0.43417369476634293,2.0,0.024904910243281075,66.01476014760148
22.0,0.01708407409901528,0.15500673495574224,318.0,0.6568458608079895,3.0,0.06663755894814455,53.44095940959409
245.0,0.0007034666823765379,0.19639211333133877,98.0,0.45829897208400977,3.0,0.0163492555637031,55.39206642066421
286.0,0.005009819120348989,0.32343457490346217,183.0,0.4961201266804511,2.0,0.017752592568035956,64.29428044280444
416.0,0.0004798648083688099,0.3512082175211362,185.0,0.4106810697499157,1.0,0.09238652484000684,57.24169741697417
