x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,accuracy
0.147503932032723,0.0,1.0,0.0,1.0,0.9504519272621967,0.0,1.0,0.0,1.0,0.40845320726319245,0.006478961297042967,0.7922,0.0,0.0,1.0,0.974687
0.08791637338578502,0.0,1.0,0.0,1.0,0.18772350876415214,0.0,1.0,0.0,1.0,0.026848672865793368,0.6267441398050537,0.106,0.0,0.0,1.0,0.94968
0.06668714316769457,0.5333333333333333,0.0,0.8905890542533285,0.0,0.6827685048118302,0.5830479700124399,0.0,0.769488255438633,0.0,0.2588171008790702,0.2003420622815467,0.5232,0.0,1.0,0.0,0.931686
0.32218367838568945,0.3333333333333333,0.0,0.6779259723741241,0.0,0.7529684974851528,0.8724608908249509,0.0,0.09850204493845978,0.0,0.40683902247587295,0.7383596061572355,0.4704,0.0,1.0,0.0,0.946325
0.38629712731172355,0.0,1.0,0.0,1.0,0.6280728188963219,0.0,1.0,0.0,1.0,0.6946422845950664,0.41173881965406256,0.3958,0.0,0.0,1.0,0.956389
0.04054076136779332,0.0,1.0,0.0,1.0,0.6473639377725643,0.0,1.0,0.0,1.0,0.7123389548897158,0.4139810739154518,0.0326,0.0,0.0,1.0,0.936566
0.868785187616079,0.0,1.0,0.0,1.0,0.49972333613594827,0.0,1.0,0.0,1.0,0.8007687401469648,0.796392986243221,0.644,0.0,0.0,1.0,0.915218
0.9467572014852785,0.06666666666666667,0.0,0.749213331794218,0.0,0.9543141610723729,0.036837689665564444,0.0,0.42751047248780116,0.0,0.7760920935653791,0.845272648831835,0.5402,0.0,1.0,0.0,0.862763
0.00610518154818234,0.0,1.0,0.0,1.0,0.7501344114001541,0.0,1.0,0.0,1.0,0.677651407517656,0.5010190978776238,0.2664,0.0,0.0,1.0,0.955474
0.8570335175449023,0.6666666666666666,0.0,0.7966442590005571,0.0,0.2535444044778838,0.32390715840183143,0.0,0.054251445964130646,0.0,0.8458622479182434,0.17601281012713366,0.776,0.0,1.0,0.0,0.94602
0.7183632158275487,0.3333333333333333,0.0,0.7533367741093121,0.0,0.28365557686133414,0.38720619498606734,0.0,0.41379049826875935,0.0,0.9518422737305943,0.6789412984335303,0.547,0.0,1.0,0.0,0.941751
0.29009365657986225,0.3333333333333333,0.0,0.6677703718215221,0.0,0.783047556107027,0.1767127575660704,0.0,0.012602125473493814,0.0,0.9003565090442703,0.8377165356820351,0.2946,0.0,1.0,0.0,0.860018
0.9774531370252604,0.7333333333333333,0.0,0.8966959623484048,0.0,0.49649587271211093,0.6069951570209186,0.0,0.7743196277805082,0.0,0.8307976770682186,0.749396033923064,0.1844,0.0,1.0,0.0,0.921317
0.5220399228747522,0.0,1.0,0.0,1.0,0.4432459163368181,0.0,1.0,0.0,1.0,0.2558872104473809,0.8817227383312145,0.658,0.0,0.0,1.0,0.915218
0.7145419962247916,1.0,0.0,0.7517459459100596,0.0,0.47779356472908574,0.21492076781725306,0.0,0.11456914295770189,0.0,0.4971848010223852,0.3840423227100603,0.9732,0.0,1.0,0.0,0.964623
0.24193219286064627,0.0,1.0,0.0,1.0,0.25678017510781115,0.0,1.0,0.0,1.0,0.05191526210165635,0.1240290976258288,0.4742,0.0,0.0,1.0,0.967368
0.12567385721985525,0.0,1.0,0.0,1.0,0.7739150964523237,0.0,1.0,0.0,1.0,0.2812922430876017,0.053176954059910506,0.5074,0.0,0.0,1.0,0.970113
0.18562626152684503,0.8,0.0,0.9334910604108341,0.0,0.9367475362678507,0.3093567756603603,0.0,0.2906885304554455,0.0,0.9990325505063223,0.416125264614398,0.4652,0.0,1.0,0.0,0.860018
0.7809089821654223,0.7333333333333333,0.0,0.9552296232473454,0.0,0.5270195375302892,0.3402512273460835,0.0,0.07650428718186579,0.0,0.4154612061893305,0.6076503064100574,0.1658,0.0,1.0,0.0,0.919183
