x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,accuracy
0.9749671953439878,0.0,0.4354440152799738,0.9795625901211527,0.6722983046724641,0.0,1.0,0.0,0.0,1.0,0.926186
0.9634018374648351,0.0,0.3204755793213596,0.4896033006914293,0.0,1.0,0.0,1.0,0.0,1.0,0.957821
0.9670306860374698,0.0,0.21509674333769346,0.9308399922935778,0.6012021748853413,0.0,0.0,1.0,0.0,1.0,0.959578
0.8263798591773863,0.0,0.23946426016579858,0.5918421421698504,0.5316506093771822,0.0,0.0,1.0,1.0,0.0,0.956063
0.9879409061683654,0.0,0.35270753559797496,0.2637342368926584,0.4968756105135412,0.0,0.0,1.0,0.0,1.0,0.959578
0.9256440093622398,0.0,0.2600667605368463,0.8268291893035715,0.0,1.0,1.0,0.0,0.0,1.0,0.959578
0.929948345165747,0.0,0.4302020399004533,0.179658200445017,0.6519555386992271,0.0,1.0,0.0,1.0,0.0,0.952548
0.9457180127909788,0.0,0.4190578205014968,0.7766851182792428,0.5945027456911289,0.0,0.0,1.0,0.0,1.0,0.957821
0.9452718807428075,0.0,0.4003781979975792,0.8644781047646294,0.5428458114345373,0.0,1.0,0.0,1.0,0.0,0.957821
0.9498664141069014,0.0,0.4247460489524374,0.2404469971746863,0.0,1.0,1.0,0.0,1.0,0.0,0.954306
0.9722797664884586,0.0,0.332104876118997,0.3511129509662305,0.0,1.0,1.0,0.0,1.0,0.0,0.956063
0.9465273313207739,0.0,0.14682475795220173,0.6772473560403431,0.6563210229248821,0.0,1.0,0.0,1.0,0.0,0.954306
0.9149853634597037,0.0,0.0,0.5397200239660699,0.4968756105135412,0.0,0.0,1.0,0.0,1.0,0.961336
0.9166990125281457,0.0,0.332104876118997,0.7705130720173637,0.5597268509505413,0.0,1.0,0.0,0.0,1.0,0.963093
0.8014292430620353,0.0,0.3077371365407441,0.32197456221508236,0.4968756105135412,0.0,0.0,1.0,0.0,1.0,0.957821
0.9742837255827334,0.0,0.09263504753360365,0.27502757554088775,0.6960687608235426,0.0,1.0,0.0,0.0,1.0,0.949033
0.9190644927903941,0.0,0.3428027996093033,0.7128741503861498,0.6855783168620103,0.0,1.0,0.0,0.0,1.0,0.945518
0.9979423625454955,0.0,0.18527343603544136,0.2209835250009798,0.6666732175412959,0.0,0.0,1.0,0.0,1.0,0.949033
0.9615008713084449,0.0,0.09263504753360365,0.979689005330993,0.7535002469157698,0.0,1.0,0.0,1.0,0.0,0.936731
0.9595371436025981,0.0,0.4131167015290358,0.6480152624159532,0.5945027456911289,0.0,1.0,0.0,1.0,0.0,0.956063
0.9713723254128112,0.0,0.4404881331323368,0.8632160570019483,0.0,1.0,1.0,0.0,0.0,1.0,0.938489
0.9280847206142966,0.0,0.37865704927040617,0.8067090882464498,0.6123975650806347,0.0,1.0,0.0,0.0,1.0,0.950791
0.9588876840952253,0.0,0.450038858504704,0.824900120666262,0.0,1.0,1.0,0.0,1.0,0.0,0.938489
0.9740541459959376,0.0,0.0,0.25035020833433697,0.5519929952717247,0.0,1.0,0.0,0.0,1.0,0.957821
0.9665107177222733,0.0,0.21509674333769346,0.1557453620644267,0.0,1.0,1.0,0.0,1.0,0.0,0.954306
0.8554290147699791,0.0,0.450038858504704,0.36710774886204417,0.4621018657970029,0.0,0.0,1.0,1.0,0.0,0.954306
0.9884486994794731,0.0,0.2600667605368463,0.265548668360309,0.5664262353496466,0.0,0.0,1.0,1.0,0.0,0.954306
0.9323147666930609,0.0,0.2600667605368463,0.3496222172307282,0.4621018657970029,0.0,0.0,1.0,0.0,1.0,0.959578
0.9924635169936451,0.0,0.3077371365407441,0.028874073892451432,0.6171793996202338,0.0,0.0,1.0,1.0,0.0,0.952548
0.9575670971584804,0.0,0.23946426016579858,0.8637239569867765,0.648412555799236,0.0,0.0,1.0,1.0,0.0,0.954306
0.8777172699885509,0.0,0.0,0.3766008331838622,0.0,1.0,0.0,1.0,1.0,0.0,0.952548
0.9372969052473565,0.0,0.2936554555437208,0.18876063921631783,0.7762454631740007,0.0,1.0,0.0,1.0,0.0,0.627417
0.999402165835133,0.0,0.45456991313075495,0.6091310960613607,0.5776215628315883,0.0,1.0,0.0,0.0,1.0,0.957821
0.9344117375952357,0.0,0.3077371365407441,0.6823857527319946,0.4968756105135412,0.0,0.0,1.0,0.0,1.0,0.964851
0.981645303237281,0.0,0.3077371365407441,0.6574973810484797,0.0,1.0,1.0,0.0,0.0,1.0,0.963093
0.9587093211557514,0.0,0.4354440152799738,0.28226073064921675,0.0,1.0,0.0,1.0,0.0,1.0,0.952548
0.8561011571540674,0.0,0.0,0.9965570548236455,0.4621018657970029,0.0,1.0,0.0,1.0,0.0,0.966608
0.9512998327412976,0.0,0.21509674333769346,0.09632486575349744,0.6446002364083981,0.0,0.0,1.0,0.0,1.0,0.949033
